week,topic,lecture_slide,lab_manual,video
1,Introducing Today Technology,links1,links1,links1
2,Computers,links2,links2,links2
3,Computing Components,links3,links3,links3
4,Input & Output,links4,links4,links4
5,Storage,links5,links5,links5
6,Computer Networks and the Internet,links6,links6,links6
7,Digital Communications and Networks: Part I,links7,links7,links7
8,Digital Communications and Networks: Part II,links8,links8,links8
9,Midterm Examination,links9,links9,links9
10,"Ethical, Social and Legal  Aspects of Information Technology",links10,links10,links10
11,Days off,links11,links11,links11
12,Working in the Enterprise & Enterprise Information Management,links12,links12,links12
13,Operating Systems,links13,links13,links13
14,Programs and Apps,links14,links14,links14
15,Database,links15,links15,links15
